calendar_date,site,value,age,scale
2008-05-24,sand,0.5829,2930.2628336755647,1
2008-05-24,invasion,0.8176,2930.2628336755647,1
2008-05-24,sandstone,0.6955,2930.2628336755647,1
2008-05-24,grass,0.5067,2930.2628336755647,1
2008-05-24,renosterveld,0.4666,2930.2628336755647,1
2008-06-09,limestone,0.5462,2930.3066392881587,1
2008-06-09,sand,0.6114,2930.3066392881587,1
2008-06-09,invasion,0.8003,2930.3066392881587,1
2008-06-09,sandstone,0.7032,2930.3066392881587,1
2008-06-09,grass,0.5852,2930.3066392881587,1
2008-06-09,renosterveld,0.4839,2930.3066392881587,1
2008-06-25,limestone,0.6046,2930.350444900753,1
2008-06-25,sand,0.6092000000000001,2930.350444900753,1
2008-06-25,invasion,0.7895000000000001,2930.350444900753,1
2008-06-25,sandstone,0.7492000000000001,2930.350444900753,1
2008-06-25,grass,0.5983,2930.350444900753,1
2008-06-25,renosterveld,0.503,2930.350444900753,1
2008-07-11,limestone,0.5301,2930.394250513347,1
2008-07-11,sand,0.5965,2930.394250513347,1
2008-07-11,invasion,0.7894,2930.394250513347,1
2008-07-11,sandstone,0.6925,2930.394250513347,1
2008-07-11,grass,0.6291,2930.394250513347,1
2008-07-11,renosterveld,0.49670000000000003,2930.394250513347,1
2008-07-27,limestone,0.5331,2930.4380561259413,1
2008-07-27,sand,0.5657,2930.4380561259413,1
2008-07-27,invasion,0.7484000000000001,2930.4380561259413,1
2008-07-27,sandstone,0.6801,2930.4380561259413,1
2008-07-27,grass,0.5316000000000001,2930.4380561259413,1
2008-07-27,renosterveld,0.5149,2930.4380561259413,1
2008-08-12,limestone,0.5039,2930.4818617385354,1
2008-08-12,sand,0.5680000000000001,2930.4818617385354,1
2008-08-12,invasion,0.7123,2930.4818617385354,1
2008-08-12,sandstone,0.7033,2930.4818617385354,1
2008-08-12,grass,0.6053000000000001,2930.4818617385354,1
2008-08-12,renosterveld,0.499,2930.4818617385354,1
2008-08-28,limestone,0.5049,2930.5256673511294,1
2008-08-28,sand,0.5692,2930.5256673511294,1
2008-08-28,invasion,0.6967,2930.5256673511294,1
2008-08-28,sandstone,0.6831,2930.5256673511294,1
2008-08-28,grass,0.5889,2930.5256673511294,1
2008-08-28,renosterveld,0.5216000000000001,2930.5256673511294,1
2008-09-13,limestone,0.49660000000000004,2930.5694729637235,1
2008-09-13,sand,0.5094000000000001,2930.5694729637235,1
2008-09-13,invasion,0.7125,2930.5694729637235,1
2008-09-13,sandstone,0.5995,2930.5694729637235,1
2008-09-13,grass,0.551,2930.5694729637235,1
2008-09-13,renosterveld,0.49410000000000004,2930.5694729637235,1
2008-09-29,limestone,0.4844,2930.6132785763175,1
2008-09-29,sand,0.5032,2930.6132785763175,1
2008-09-29,invasion,0.6827000000000001,2930.6132785763175,1
2008-09-29,sandstone,0.597,2930.6132785763175,1
2008-09-29,grass,0.5227,2930.6132785763175,1
2008-09-29,renosterveld,0.4893,2930.6132785763175,1
2008-10-15,limestone,0.4808,2930.6570841889115,1
2008-10-15,sand,0.4727,2930.6570841889115,1
2008-10-15,invasion,0.6993,2930.6570841889115,1
2008-10-15,sandstone,0.5971000000000001,2930.6570841889115,1
2008-10-15,grass,0.5369,2930.6570841889115,1
2008-10-15,renosterveld,0.4868,2930.6570841889115,1
2008-10-31,limestone,0.5055000000000001,2930.700889801506,1
2008-10-31,sand,0.5005000000000001,2930.700889801506,1
2008-10-31,invasion,0.7537,2930.700889801506,1
2008-10-31,sandstone,0.6125,2930.700889801506,1
2008-10-31,grass,0.5085000000000001,2930.700889801506,1
2008-10-31,renosterveld,0.4408,2930.700889801506,1
2008-11-16,limestone,0.4716,2930.7446954141,1
2008-11-16,sand,0.4671,2930.7446954141,1
2008-11-16,invasion,0.6422,2930.7446954141,1
2008-11-16,sandstone,0.615,2930.7446954141,1
2008-11-16,grass,0.37110000000000004,2930.7446954141,1
2008-11-16,renosterveld,0.48350000000000004,2930.7446954141,1
2008-12-02,limestone,0.48750000000000004,2930.788501026694,1
2008-12-02,sand,0.49010000000000004,2930.788501026694,1
2008-12-02,invasion,0.7115,2930.788501026694,1
2008-12-02,sandstone,0.5187,2930.788501026694,1
2008-12-02,grass,0.5122,2930.788501026694,1
2008-12-02,renosterveld,0.451,2930.788501026694,1
2008-12-18,limestone,0.5036,2930.832306639288,1
2008-12-18,sand,0.5329,2930.832306639288,1
2008-12-18,invasion,0.8189000000000001,2930.832306639288,1
2008-12-18,sandstone,0.6227,2930.832306639288,1
2008-12-18,grass,0.5750000000000001,2930.832306639288,1
2008-12-18,renosterveld,0.47250000000000003,2930.832306639288,1
2009-01-01,limestone,0.506,2930.870636550308,1
2009-01-01,sand,0.48250000000000004,2930.870636550308,1
2009-01-01,invasion,0.6689,2930.870636550308,1
2009-01-01,sandstone,0.636,2930.870636550308,1
2009-01-01,grass,0.5745,2930.870636550308,1
2009-01-01,renosterveld,0.4526,2930.870636550308,1
2009-01-17,limestone,0.4476,2930.914442162902,1
2009-01-17,sand,0.4768,2930.914442162902,1
2009-01-17,invasion,0.6751,2930.914442162902,1
2009-01-17,sandstone,0.5708,2930.914442162902,1
2009-01-17,grass,0.5126000000000001,2930.914442162902,1
2009-01-17,renosterveld,0.41040000000000004,2930.914442162902,1
2009-02-02,limestone,0.4388,2930.958247775496,1
2009-02-02,sand,0.5115000000000001,2930.958247775496,1
2009-02-02,invasion,0.7272000000000001,2930.958247775496,1
2009-02-02,sandstone,0.5987,2930.958247775496,1
2009-02-02,grass,0.47550000000000003,2930.958247775496,1
2009-02-02,renosterveld,0.3884,2930.958247775496,1
2009-02-18,limestone,0.4403,2931.00205338809,1
2009-02-18,sand,0.4994,2931.00205338809,1
2009-02-18,invasion,0.7263000000000001,2931.00205338809,1
2009-02-18,sandstone,0.5418000000000001,2931.00205338809,1
2009-02-18,grass,0.43610000000000004,2931.00205338809,1
2009-02-18,renosterveld,0.3547,2931.00205338809,1
2009-03-06,limestone,0.523,2931.0458590006847,1
2009-03-06,sand,0.505,2931.0458590006847,1
2009-03-06,invasion,0.7449,2931.0458590006847,1
2009-03-06,sandstone,0.5839,2931.0458590006847,1
2009-03-06,grass,0.49970000000000003,2931.0458590006847,1
2009-03-06,renosterveld,0.3534,2931.0458590006847,1
2009-03-22,limestone,0.48360000000000003,2931.0896646132787,1
2009-03-22,sand,0.5426,2931.0896646132787,1
2009-03-22,invasion,0.7701,2931.0896646132787,1
2009-03-22,sandstone,0.6123000000000001,2931.0896646132787,1
2009-03-22,grass,0.49510000000000004,2931.0896646132787,1
2009-03-22,renosterveld,0.3599,2931.0896646132787,1
2009-04-07,limestone,0.4681,2931.1334702258728,1
2009-04-07,sand,0.5736,2931.1334702258728,1
2009-04-07,invasion,0.7964,2931.1334702258728,1
2009-04-07,sandstone,0.632,2931.1334702258728,1
2009-04-07,grass,0.5249,2931.1334702258728,1
2009-04-07,renosterveld,0.35710000000000003,2931.1334702258728,1
2009-04-23,limestone,0.5166000000000001,2931.177275838467,1
2009-04-23,sand,0.5763,2931.177275838467,1
2009-04-23,invasion,0.8097000000000001,2931.177275838467,1
2009-04-23,sandstone,0.6579,2931.177275838467,1
2009-04-23,grass,0.5355,2931.177275838467,1
2009-04-23,renosterveld,0.42750000000000005,2931.177275838467,1
2009-05-09,limestone,0.517,2931.221081451061,1
2009-05-09,sand,0.5759000000000001,2931.221081451061,1
2009-05-09,invasion,0.734,2931.221081451061,1
2009-05-09,sandstone,0.6781,2931.221081451061,1
2009-05-09,grass,0.5452,2931.221081451061,1
2009-05-09,renosterveld,0.4088,2931.221081451061,1
2009-05-25,limestone,0.558,2931.264887063655,1
2009-05-25,sand,0.6309,2931.264887063655,1
2009-05-25,invasion,0.7654000000000001,2931.264887063655,1
2009-05-25,sandstone,0.7756000000000001,2931.264887063655,1
2009-05-25,grass,0.6018,2931.264887063655,1
2009-05-25,renosterveld,0.4708,2931.264887063655,1
2009-06-10,limestone,0.528,2931.308692676249,1
2009-06-10,sand,0.6363,2931.308692676249,1
2009-06-10,invasion,0.7229,2931.308692676249,1
2009-06-10,sandstone,0.7113,2931.308692676249,1
2009-06-10,grass,0.6222,2931.308692676249,1
2009-06-10,renosterveld,0.5014000000000001,2931.308692676249,1
2009-06-26,limestone,0.6429,2931.3524982888434,1
2009-06-26,sand,0.6442,2931.3524982888434,1
2009-06-26,invasion,0.786,2931.3524982888434,1
2009-06-26,sandstone,0.6949000000000001,2931.3524982888434,1
2009-06-26,grass,0.611,2931.3524982888434,1
2009-06-26,renosterveld,0.5002,2931.3524982888434,1
2009-07-12,limestone,0.6288,2931.3963039014375,1
2009-07-12,sand,0.6185,2931.3963039014375,1
2009-07-12,invasion,0.8268000000000001,2931.3963039014375,1
2009-07-12,sandstone,0.7982,2931.3963039014375,1
2009-07-12,grass,0.597,2931.3963039014375,1
2009-07-12,renosterveld,0.5691,2931.3963039014375,1
2009-07-28,limestone,0.47640000000000005,2931.4401095140315,1
2009-07-28,sand,0.5691,2931.4401095140315,1
2009-07-28,invasion,0.7748,2931.4401095140315,1
2009-07-28,sandstone,0.6961,2931.4401095140315,1
2009-07-28,grass,0.641,2931.4401095140315,1
2009-07-28,renosterveld,0.5404,2931.4401095140315,1
2009-08-13,limestone,0.5131,2931.4839151266256,1
2009-08-13,sand,0.5534,2931.4839151266256,1
2009-08-13,invasion,0.7063,2931.4839151266256,1
2009-08-13,sandstone,0.6935,2931.4839151266256,1
